Latitude,Longitude,Title,Description,Timestamp,T1,T2,T3,T4,T5,T6,T7,T8
50.93750307,19.11396693,Znacznik 30,,3/25/2022 8:42,4,5.9,5.7,6.6,6.3,6.5,5.8,6.6
50.93752948,19.11403198,Znacznik 31,,3/25/2022 8:44,5.4,5.9,5.6,6.6,6.2,4.5,5.5,6.5
50.93758336,19.1141567,Znacznik 32,,3/25/2022 8:46,4.3,5.8,5.7,6.7,6.2,5.8,5.6,6.5
50.93761062,19.11426801,Znacznik 33,,3/25/2022 9:17,5.1,6.2,6.2,7.5,6.9,6.9,6.4,7.1
50.93764907,19.11434982,Znacznik 34,,3/25/2022 9:21,5.2,5.9,5.7,6.7,6.3,6.4,5.9,6.7
50.93767442,19.11441218,Znacznik 35,,3/25/2022 9:23,5.6,6,5.9,7,6.6,6.6,6,7.2
50.93769724,19.11448997,Znacznik 36,,3/25/2022 9:26,4.5,6,5.9,6.6,6.4,5.8,5.7,6.6
50.93773189,19.11457445,Znacznik 37,,3/25/2022 9:27,4.8,6,5.8,6.7,6.4,6.5,5.9,6.7
50.93777879,19.11470354,Znacznik 38,,3/25/2022 9:30,5.2,6,5.8,6.6,6.3,6.4,5.4,6.5
50.93781936,19.11479641,Znacznik 39,,3/25/2022 9:32,4.9,6.2,6,7,6.6,6.6,5.8,6.8
50.93786521,19.11487754,Znacznik 40,,3/25/2022 9:35,5.3,6.1,5.8,6.7,6.3,5.4,5.3,6.4
50.9378876,19.11499355,Znacznik 41,,3/25/2022 9:38,5.2,6.1,5.9,6.6,6.4,6.5,5.3,6.4
50.93793493,19.11511257,Znacznik 42,,3/25/2022 9:41,5.2,6.1,6.1,7.2,6.6,6.4,6.2,7
50.93798183,19.11521483,Znacznik 43,,3/25/2022 9:43,5.3,6.1,6.1,6.7,6.5,5.7,5.6,6.5
50.93801395,19.1152725,Znacznik 44,,3/25/2022 9:46,5.5,6.6,6.6,8,7.4,7.6,7.2,7.8
50.9380393,19.1153533,Znacznik 45,,3/25/2022 9:48,5.5,6.3,6.1,6.7,6.5,6.4,5.8,6.4
50.93808663,19.1154683,Znacznik 46,,3/25/2022 9:50,5,6.2,6,6.6,6.5,6.6,5.3,6.4
50.93812867,19.11554407,Znacznik 47,,3/25/2022 9:53,5.1,6.3,6.1,6.9,6.6,6.7,4.8,6.6
50.93816712,19.11561213,Znacznik 48,,3/25/2022 9:54,5.2,6.4,6.2,6.9,6.8,6.9,5.4,6.7
50.93826494,19.11575798,Znacznik 49,,3/25/2022 9:59,5.2,6.4,6.4,8.2,7.1,7.1,6.6,7.2
50.93830107,19.1158247,Znacznik 50,,3/25/2022 10:02,5,6.3,6.1,6.7,6.5,6.6,5.9,6.4
50.9383596,19.11583845,Znacznik 51,,3/25/2022 10:03,5,6.3,6,6.5,6.5,6.3,5.8,6.3
